customer_id,count_x,gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,count_y,quarter,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,online_backup.1,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
9514JDSKI,1,Male,77,No,Yes,Yes,No,0,1,Q3,Yes,1,1,Offer E,No,0.0,,Yes,DSL,12.0,No,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2
7273TEFQD,1,Male,67,No,Yes,No,No,0,1,Q3,No,0,3,Offer E,No,0.0,,Yes,DSL,28.0,No,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2
3606TWKGI,1,Male,68,No,Yes,No,No,0,1,Q3,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11.0,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.14
4385GZQXV,1,Female,68,No,Yes,No,No,0,1,Q3,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9.0,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08
3488PGMQJ,1,Male,66,No,Yes,No,No,0,1,Q3,No,0,8,No Offer,Yes,1.78,No,Yes,Fiber Optic,7.0,No,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79
7534BFESC,1,Male,69,No,Yes,No,No,0,1,Q3,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58
8098LLAZX,1,Female,74,No,Yes,No,No,0,1,Q3,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2.0,No,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54
0265EDXBD,1,Male,76,No,Yes,Yes,No,0,1,Q3,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23
2840XANRC,1,Male,77,No,Yes,Yes,No,0,1,Q3,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12.0,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2617.45
5020ZSTTY,1,Female,70,No,Yes,No,No,0,1,Q3,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42
5804LEPIM,1,Female,74,No,Yes,No,No,0,1,Q3,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39
0623IIHUG,1,Female,77,No,Yes,No,No,0,1,Q3,No,0,21,No Offer,No,0.0,,Yes,Cable,8.0,Yes,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1
9057MSWCO,1,Male,71,No,Yes,Yes,No,0,1,Q3,No,0,27,No Offer,No,0.0,,Yes,Cable,13.0,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140,0.0,945.1
4895TMWIR,1,Male,79,No,Yes,Yes,No,0,1,Q3,Yes,1,11,No Offer,Yes,29.54,No,No,,,,,,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0,324.94,539.69
0533BNWKF,1,Female,66,No,Yes,Yes,No,0,1,Q3,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27.0,No,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.8
0334GDDSO,1,Male,77,No,Yes,No,No,0,1,Q3,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14.0,No,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.66,261.36
5564NEMQO,1,Female,80,No,Yes,No,No,0,1,Q3,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17.0,No,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39
6235VDHOM,1,Female,77,No,Yes,No,No,0,1,Q3,No,0,5,Offer E,No,0.0,,Yes,DSL,26.0,No,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05
5609CEBID,1,Female,77,No,Yes,No,No,0,1,Q3,No,0,20,No Offer,Yes,48.73,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80,974.6,2837.0
5956VKDTT,1,Female,72,No,Yes,Yes,No,0,1,Q3,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6
0257ZESQC,1,Female,80,No,Yes,Yes,No,0,1,Q3,Yes,2,27,No Offer,Yes,7.02,No,Yes,Cable,25.0,Yes,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89
2865TCHJW,1,Female,74,No,Yes,No,No,0,1,Q3,No,0,4,No Offer,Yes,48.35,Yes,Yes,Cable,24.0,No,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6
5192EBGOV,1,Female,68,No,Yes,No,No,0,1,Q3,No,0,1,No Offer,Yes,45.81,Yes,Yes,Fiber Optic,21.0,No,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51
3419SNJJD,1,Female,78,No,Yes,Yes,No,0,1,Q3,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28.0,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75
4554YGZIH,1,Male,75,No,Yes,Yes,No,0,1,Q3,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14.0,No,Yes,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.08,5670.33
5099BAILX,1,Male,77,No,Yes,Yes,No,0,1,Q3,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.26
4913EHYUI,1,Male,80,No,Yes,Yes,No,0,1,Q3,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12.0,Yes,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.8,8527.45
1626ERCMM,1,Male,75,No,Yes,Yes,No,0,1,Q3,Yes,7,20,No Offer,Yes,5.31,Yes,Yes,Fiber Optic,10.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0,106.2,2005.85
5644PDMZC,1,Female,69,No,Yes,No,No,0,1,Q3,No,0,2,No Offer,Yes,47.47,Yes,Yes,Fiber Optic,19.0,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44
4160AMJTL,1,Female,74,No,Yes,No,No,0,1,Q3,No,0,8,No Offer,Yes,27.95,No,No,,,,,,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9
0823HSCDJ,1,Male,76,No,Yes,No,No,0,1,Q3,No,0,52,No Offer,No,0.0,,Yes,DSL,18.0,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9
0067DKWBL,1,Male,69,No,Yes,No,No,0,1,Q3,No,0,2,No Offer,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08
5244IRFIH,1,Male,72,No,Yes,Yes,No,0,1,Q3,Yes,1,33,No Offer,Yes,27.78,Yes,Yes,Fiber Optic,8.0,No,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29
2684EIWEO,1,Female,69,No,Yes,No,No,0,1,Q3,No,0,30,No Offer,Yes,45.88,Yes,Yes,Fiber Optic,19.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0,1376.4,4134.55
6683VLCTZ,1,Male,73,No,Yes,No,No,0,1,Q3,No,0,20,No Offer,Yes,44.44,Yes,Yes,Fiber Optic,13.0,No,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,2851.6
0691IFBQW,1,Female,65,No,Yes,No,No,0,1,Q3,No,0,46,No Offer,Yes,2.37,Yes,Yes,Fiber Optic,20.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02,4983.82
3643AHCFP,1,Male,74,No,Yes,Yes,No,0,1,Q3,Yes,1,7,No Offer,Yes,21.91,Yes,Yes,Cable,11.0,No,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,0,153.37,797.72
9231ZJYAM,1,Female,65,No,Yes,No,No,0,1,Q3,No,0,4,No Offer,Yes,36.93,No,Yes,Fiber Optic,18.0,No,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,0,147.72,440.52
0727BMPLR,1,Female,66,No,Yes,No,No,0,1,Q3,No,0,55,No Offer,Yes,37.38,Yes,Yes,Fiber Optic,7.0,No,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,7665.2
0947MUGVO,1,Male,71,No,Yes,Yes,No,0,1,Q3,Yes,1,20,No Offer,Yes,5.37,No,Yes,Fiber Optic,24.0,No,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0,107.4,1570.9
0781LKXBR,1,Male,65,No,Yes,No,No,0,1,Q3,No,0,9,No Offer,Yes,48.71,Yes,Yes,Fiber Optic,15.0,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0.0,0,438.39,1356.99
1907UBQFC,1,Male,69,No,Yes,No,No,0,1,Q3,No,0,10,No Offer,Yes,5.46,No,Yes,Fiber Optic,24.0,No,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0.0,30,54.6,773.25
6513EECDB,1,Male,75,No,Yes,Yes,No,0,1,Q3,No,0,1,No Offer,Yes,36.92,Yes,Yes,Fiber Optic,6.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,0.0,0,36.92,110.47
7074IEVOJ,1,Female,75,No,Yes,No,No,0,1,Q3,No,0,3,No Offer,Yes,41.9,Yes,Yes,Fiber Optic,11.0,No,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0.0,0,125.7,330.75
4750ZRXIU,1,Female,68,No,Yes,No,No,0,1,Q3,No,0,4,No Offer,Yes,6.68,Yes,Yes,Cable,17.0,No,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0.0,0,26.72,386.82
7028DVOIQ,1,Male,71,No,Yes,No,No,0,1,Q3,No,0,35,No Offer,Yes,20.83,Yes,Yes,Fiber Optic,19.0,No,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0.0,120,729.05,4244.85
4208UFFGW,1,Male,80,No,Yes,No,No,0,1,Q3,No,0,2,Offer E,Yes,26.62,No,Yes,DSL,11.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0.0,0,53.24,138.39
9889TMAHG,1,Male,66,No,Yes,No,No,0,1,Q3,No,0,8,No Offer,Yes,11.57,No,Yes,Fiber Optic,27.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,0.0,0,92.56,924.91
8919FYFQZ,1,Male,73,No,Yes,Yes,No,0,1,Q3,Yes,2,44,No Offer,No,0.0,,Yes,Cable,28.0,No,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,0,0.0,1359.7
6646QVXLR,1,Male,77,No,Yes,Yes,No,0,1,Q3,Yes,1,62,No Offer,Yes,7.11,Yes,Yes,Fiber Optic,16.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0.0,0,440.82,6824.17
9369XFEHK,1,Female,76,No,Yes,Yes,No,0,1,Q3,Yes,1,33,No Offer,Yes,33.19,Yes,Yes,Cable,15.0,No,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,0.0,0,1095.27,3751.77
1374DMZUI,1,Female,65,No,Yes,No,No,0,1,Q3,No,0,4,Offer E,Yes,49.5,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0.0,0,198.0,622.45
1989PRJHP,1,Male,75,No,Yes,Yes,No,0,1,Q3,Yes,1,27,No Offer,Yes,10.6,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0.0,0,286.2,2180.15
4822RVYBB,1,Male,75,No,Yes,No,No,0,1,Q3,No,0,8,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29.0,No,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0.0,0,323.6,1143.0
4184TJFAN,1,Female,68,No,Yes,Yes,No,0,1,Q3,Yes,1,3,Offer E,Yes,25.77,No,Yes,Fiber Optic,2.0,Yes,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0.0,0,77.31,351.06
4145UQXUQ,1,Female,71,No,Yes,No,No,0,1,Q3,No,0,8,Offer E,Yes,42.93,No,Yes,Fiber Optic,9.0,No,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0.0,0,343.44,1073.39
1236WFCDV,1,Male,74,No,Yes,No,No,0,1,Q3,No,0,14,No Offer,Yes,11.31,No,Yes,Fiber Optic,24.0,No,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0.0,0,158.34,1424.44
1271SJBGZ,1,Male,77,No,Yes,No,No,0,1,Q3,No,0,12,No Offer,No,0.0,,Yes,DSL,10.0,No,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0,0,0.0,526.95
4441NIHPT,1,Female,73,No,Yes,No,No,0,1,Q3,No,0,13,No Offer,Yes,40.37,No,Yes,Fiber Optic,21.0,No,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0.0,0,524.81,1465.16
8999BOHSE,1,Female,68,No,Yes,No,No,0,1,Q3,No,0,11,No Offer,Yes,3.96,No,Yes,Fiber Optic,27.0,No,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0.0,0,43.56,1091.26
7029RPUAV,1,Male,74,No,Yes,Yes,No,0,1,Q3,Yes,1,17,No Offer,Yes,28.18,Yes,Yes,Cable,16.0,No,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0.0,0,479.06,2101.51
8111SLLHI,1,Male,65,No,Yes,Yes,No,0,1,Q3,Yes,1,39,No Offer,Yes,33.25,Yes,Yes,Fiber Optic,26.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8,0.0,0,1296.75,5581.55
5293WXJAK,1,Female,73,No,Yes,Yes,No,0,1,Q3,Yes,5,11,No Offer,Yes,17.25,Yes,Yes,Fiber Optic,27.0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,1133.65,0.0,0,189.75,1323.4
4086YQSNZ,1,Female,74,No,Yes,Yes,No,0,1,Q3,Yes,1,3,Offer E,Yes,3.29,No,Yes,Fiber Optic,9.0,No,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05,0.0,0,9.87,233.92
8399YNDCH,1,Male,80,No,Yes,No,No,0,1,Q3,No,0,21,No Offer,Yes,34.62,No,Yes,DSL,14.0,No,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,0.0,0,727.02,1963.17
5565FILXA,1,Female,76,No,Yes,No,No,0,1,Q3,No,0,16,No Offer,Yes,38.75,Yes,Yes,Fiber Optic,16.0,No,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2,0.0,0,620.0,2149.2
4187CINZD,1,Female,73,No,Yes,No,No,0,1,Q3,No,0,46,No Offer,Yes,6.13,No,Yes,Fiber Optic,30.0,No,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,95.25,4424.2,0.0,0,281.98,4706.18
6818WOBHJ,1,Female,70,No,Yes,Yes,No,0,1,Q3,Yes,1,68,Offer A,Yes,24.13,Yes,Yes,Fiber Optic,24.0,No,Yes,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,0.0,0,1640.84,7768.44
9134CEQMF,1,Male,75,No,Yes,Yes,No,0,1,Q3,Yes,1,7,Offer E,Yes,13.63,No,Yes,Fiber Optic,27.0,No,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,0.0,0,95.41,772.11
8519IMDHU,1,Male,74,No,Yes,Yes,No,0,1,Q3,Yes,1,15,No Offer,Yes,45.25,Yes,Yes,Cable,22.0,No,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55,0.0,0,678.75,2024.3
3372KWFBM,1,Male,76,No,Yes,No,No,0,1,Q3,No,0,16,No Offer,Yes,19.18,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,1281.0,0.0,0,306.88,1587.88
7206GZCDC,1,Female,75,No,Yes,No,No,0,1,Q3,No,0,1,Offer E,Yes,29.68,No,Yes,Cable,18.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,69.25,0.0,0,29.68,98.93
1768ZAIFU,1,Female,74,No,Yes,No,No,0,1,Q3,No,0,1,No Offer,No,0.0,,Yes,Cable,5.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,25.2,0.0,0,0.0,25.2
3793MMFUH,1,Female,73,No,Yes,No,No,0,1,Q3,No,0,13,No Offer,Yes,19.03,Yes,Yes,Fiber Optic,24.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1290.0,0.0,0,247.39,1537.39
6567HOOPW,1,Female,69,No,Yes,No,No,0,1,Q3,No,0,1,No Offer,Yes,20.06,No,Yes,Fiber Optic,24.0,No,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.2,79.2,0.0,0,20.06,99.26
8621MNIHH,1,Female,75,No,Yes,Yes,No,0,1,Q3,Yes,1,34,No Offer,Yes,2.88,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,3217.55,0.0,0,97.92,3315.47
5419CONWX,1,Female,65,No,Yes,No,No,0,1,Q3,No,0,4,No Offer,Yes,12.68,No,Yes,Fiber Optic,10.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.8,442.85,0.0,0,50.72,493.57
7024OHCCK,1,Female,77,No,Yes,No,No,0,1,Q3,No,0,2,No Offer,Yes,19.27,Yes,Yes,Fiber Optic,18.0,No,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,170.85,0.0,0,38.54,209.39
5357TZHPP,1,Male,67,No,Yes,No,No,0,1,Q3,No,0,9,No Offer,Yes,30.8,Yes,Yes,Fiber Optic,18.0,No,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.4,732.5,0.0,0,277.2,1009.7
0506LVNGN,1,Female,78,No,Yes,No,No,0,1,Q3,No,0,5,No Offer,Yes,42.33,No,Yes,Fiber Optic,9.0,No,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.55,349.65,0.0,0,211.65,561.3
9809IMGCQ,1,Male,65,No,Yes,No,No,0,1,Q3,No,0,22,Offer D,Yes,40.18,Yes,Yes,Fiber Optic,8.0,No,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,96.7,2082.95,0.0,100,883.96,3066.91
3254YRILK,1,Male,74,No,Yes,No,No,0,1,Q3,No,0,19,Offer D,Yes,39.97,Yes,Yes,Fiber Optic,9.0,No,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,1775.8,0.0,0,759.43,2535.23
0529ONKER,1,Male,70,No,Yes,No,No,0,1,Q3,No,0,15,Offer D,Yes,46.38,Yes,Yes,Fiber Optic,19.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1146.65,0.0,0,695.7,1842.35
5240IJOQT,1,Male,69,No,Yes,No,No,0,1,Q3,No,0,1,No Offer,Yes,11.34,Yes,Yes,Fiber Optic,20.0,No,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,74.7,0.0,0,11.34,86.04
0661XEYAN,1,Female,76,No,Yes,No,No,0,1,Q3,No,0,1,No Offer,No,0.0,,Yes,DSL,26.0,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,25.8,0.0,20,0.0,45.8
