,Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Dept,Weekly_Sales
218,1,26/02/2010,46.63,2.5610000000000004,211.3196429,8.106,False,1,19403.54
219,1,26/02/2010,46.63,2.5610000000000004,211.3196429,8.106,False,2,44292.87
220,1,26/02/2010,46.63,2.5610000000000004,211.3196429,8.106,False,3,11135.17
221,1,26/02/2010,46.63,2.5610000000000004,211.3196429,8.106,False,4,34660.16
222,1,26/02/2010,46.63,2.5610000000000004,211.3196429,8.106,False,5,24101.89
223,1,26/02/2010,46.63,2.5610000000000004,211.3196429,8.106,False,6,5244.56
224,1,26/02/2010,46.63,2.5610000000000004,211.3196429,8.106,False,7,17224.22
225,1,26/02/2010,46.63,2.5610000000000004,211.3196429,8.106,False,8,35318.2
290,1,05/03/2010,46.5,2.625,211.3501429,8.106,False,1,21827.9
291,1,05/03/2010,46.5,2.625,211.3501429,8.106,False,2,48397.98
292,1,05/03/2010,46.5,2.625,211.3501429,8.106,False,3,12275.58
293,1,05/03/2010,46.5,2.625,211.3501429,8.106,False,4,38086.19
294,1,05/03/2010,46.5,2.625,211.3501429,8.106,False,5,23082.14
295,1,05/03/2010,46.5,2.625,211.3501429,8.106,False,6,4221.25
296,1,05/03/2010,46.5,2.625,211.3501429,8.106,False,7,19659.7
297,1,05/03/2010,46.5,2.625,211.3501429,8.106,False,8,38776.09
363,1,12/03/2010,57.79,2.667,211.3806429,8.106,False,1,21043.39
364,1,12/03/2010,57.79,2.667,211.3806429,8.106,False,2,43751.94
365,1,12/03/2010,57.79,2.667,211.3806429,8.106,False,3,10123.45
366,1,12/03/2010,57.79,2.667,211.3806429,8.106,False,4,32668.67
367,1,12/03/2010,57.79,2.667,211.3806429,8.106,False,5,21498.92
368,1,12/03/2010,57.79,2.667,211.3806429,8.106,False,6,5619.0
369,1,12/03/2010,57.79,2.667,211.3806429,8.106,False,7,21529.14
370,1,12/03/2010,57.79,2.667,211.3806429,8.106,False,8,34342.64
436,1,19/03/2010,54.58,2.72,211.21563500000002,8.106,False,1,22136.64
437,1,19/03/2010,54.58,2.72,211.21563500000002,8.106,False,2,43615.49
438,1,19/03/2010,54.58,2.72,211.21563500000002,8.106,False,3,9001.37
439,1,19/03/2010,54.58,2.72,211.21563500000002,8.106,False,4,34118.11
440,1,19/03/2010,54.58,2.72,211.21563500000002,8.106,False,5,22632.57
441,1,19/03/2010,54.58,2.72,211.21563500000002,8.106,False,6,4906.05
442,1,19/03/2010,54.58,2.72,211.21563500000002,8.106,False,7,22711.59
443,1,19/03/2010,54.58,2.72,211.21563500000002,8.106,False,8,34188.52
508,1,26/03/2010,51.45,2.7319999999999998,211.0180424,8.106,False,1,26229.21
509,1,26/03/2010,51.45,2.7319999999999998,211.0180424,8.106,False,2,41892.55
510,1,26/03/2010,51.45,2.7319999999999998,211.0180424,8.106,False,3,10366.85
511,1,26/03/2010,51.45,2.7319999999999998,211.0180424,8.106,False,4,33872.07
512,1,26/03/2010,51.45,2.7319999999999998,211.0180424,8.106,False,5,38971.89
513,1,26/03/2010,51.45,2.7319999999999998,211.0180424,8.106,False,6,7468.33
514,1,26/03/2010,51.45,2.7319999999999998,211.0180424,8.106,False,7,16254.21
515,1,26/03/2010,51.45,2.7319999999999998,211.0180424,8.106,False,8,33581.72
580,1,02/04/2010,62.27,2.719,210.82044989999997,7.808,False,1,57258.43
581,1,02/04/2010,62.27,2.719,210.82044989999997,7.808,False,2,47450.5
582,1,02/04/2010,62.27,2.719,210.82044989999997,7.808,False,3,11157.08
583,1,02/04/2010,62.27,2.719,210.82044989999997,7.808,False,4,37809.49
584,1,02/04/2010,62.27,2.719,210.82044989999997,7.808,False,5,29967.92
585,1,02/04/2010,62.27,2.719,210.82044989999997,7.808,False,6,4132.61
586,1,02/04/2010,62.27,2.719,210.82044989999997,7.808,False,7,22427.62
587,1,02/04/2010,62.27,2.719,210.82044989999997,7.808,False,8,38151.58
652,1,09/04/2010,65.86,2.77,210.62285740000002,7.808,False,1,42960.91
653,1,09/04/2010,65.86,2.77,210.62285740000002,7.808,False,2,46549.73
654,1,09/04/2010,65.86,2.77,210.62285740000002,7.808,False,3,10179.29
655,1,09/04/2010,65.86,2.77,210.62285740000002,7.808,False,4,36174.43
656,1,09/04/2010,65.86,2.77,210.62285740000002,7.808,False,5,18516.45
657,1,09/04/2010,65.86,2.77,210.62285740000002,7.808,False,6,4428.8
658,1,09/04/2010,65.86,2.77,210.62285740000002,7.808,False,7,20516.64
659,1,09/04/2010,65.86,2.77,210.62285740000002,7.808,False,8,34145.96
725,1,16/04/2010,66.32,2.8080000000000003,210.4887,7.808,False,1,17596.96
726,1,16/04/2010,66.32,2.8080000000000003,210.4887,7.808,False,2,45025.02
727,1,16/04/2010,66.32,2.8080000000000003,210.4887,7.808,False,3,9226.8
728,1,16/04/2010,66.32,2.8080000000000003,210.4887,7.808,False,4,34740.19
729,1,16/04/2010,66.32,2.8080000000000003,210.4887,7.808,False,5,11570.27
730,1,16/04/2010,66.32,2.8080000000000003,210.4887,7.808,False,6,5020.78
731,1,16/04/2010,66.32,2.8080000000000003,210.4887,7.808,False,7,19330.26
732,1,16/04/2010,66.32,2.8080000000000003,210.4887,7.808,False,8,32890.54
798,1,23/04/2010,64.84,2.795,210.4391228,7.808,False,1,16145.35
799,1,23/04/2010,64.84,2.795,210.4391228,7.808,False,2,44418.11
800,1,23/04/2010,64.84,2.795,210.4391228,7.808,False,3,8868.93
801,1,23/04/2010,64.84,2.795,210.4391228,7.808,False,4,33806.71
802,1,23/04/2010,64.84,2.795,210.4391228,7.808,False,5,24763.98
803,1,23/04/2010,64.84,2.795,210.4391228,7.808,False,6,3945.19
804,1,23/04/2010,64.84,2.795,210.4391228,7.808,False,7,18534.4
805,1,23/04/2010,64.84,2.795,210.4391228,7.808,False,8,32946.13
870,1,30/04/2010,67.41,2.78,210.3895456,7.808,False,1,16555.11
871,1,30/04/2010,67.41,2.78,210.3895456,7.808,False,2,45971.3
872,1,30/04/2010,67.41,2.78,210.3895456,7.808,False,3,9337.44
873,1,30/04/2010,67.41,2.78,210.3895456,7.808,False,4,33437.8
874,1,30/04/2010,67.41,2.78,210.3895456,7.808,False,5,22006.41
875,1,30/04/2010,67.41,2.78,210.3895456,7.808,False,6,4736.15
876,1,30/04/2010,67.41,2.78,210.3895456,7.808,False,7,22723.48
877,1,30/04/2010,67.41,2.78,210.3895456,7.808,False,8,34168.23
941,1,07/05/2010,72.55,2.835,210.33996839999998,7.808,False,1,17413.94
942,1,07/05/2010,72.55,2.835,210.33996839999998,7.808,False,2,47903.01
943,1,07/05/2010,72.55,2.835,210.33996839999998,7.808,False,3,9372.8
944,1,07/05/2010,72.55,2.835,210.33996839999998,7.808,False,4,37168.34
945,1,07/05/2010,72.55,2.835,210.33996839999998,7.808,False,5,19260.44
946,1,07/05/2010,72.55,2.835,210.33996839999998,7.808,False,6,7477.7
947,1,07/05/2010,72.55,2.835,210.33996839999998,7.808,False,7,20457.62
948,1,07/05/2010,72.55,2.835,210.33996839999998,7.808,False,8,35393.78
1013,1,14/05/2010,74.78,2.8539999999999996,210.3374261,7.808,False,1,18926.74
1014,1,14/05/2010,74.78,2.8539999999999996,210.3374261,7.808,False,2,43675.61
1015,1,14/05/2010,74.78,2.8539999999999996,210.3374261,7.808,False,3,7919.86
1016,1,14/05/2010,74.78,2.8539999999999996,210.3374261,7.808,False,4,33657.7
1017,1,14/05/2010,74.78,2.8539999999999996,210.3374261,7.808,False,5,16891.66
1018,1,14/05/2010,74.78,2.8539999999999996,210.3374261,7.808,False,6,6982.17
1019,1,14/05/2010,74.78,2.8539999999999996,210.3374261,7.808,False,7,18771.35
1020,1,14/05/2010,74.78,2.8539999999999996,210.3374261,7.808,False,8,33131.69
1085,1,21/05/2010,76.44,2.826,210.6170934,7.808,False,1,14773.04
1086,1,21/05/2010,76.44,2.826,210.6170934,7.808,False,2,44319.15
1087,1,21/05/2010,76.44,2.826,210.6170934,7.808,False,3,7813.91
1088,1,21/05/2010,76.44,2.826,210.6170934,7.808,False,4,35571.47
1089,1,21/05/2010,76.44,2.826,210.6170934,7.808,False,5,16157.17
1090,1,21/05/2010,76.44,2.826,210.6170934,7.808,False,6,3395.75
1091,1,21/05/2010,76.44,2.826,210.6170934,7.808,False,7,28726.86
1092,1,21/05/2010,76.44,2.826,210.6170934,7.808,False,8,34442.73
1155,1,28/05/2010,80.44,2.759,210.89676060000002,7.808,False,1,15580.43
1156,1,28/05/2010,80.44,2.759,210.89676060000002,7.808,False,2,44619.52
1157,1,28/05/2010,80.44,2.759,210.89676060000002,7.808,False,3,8412.69
1158,1,28/05/2010,80.44,2.759,210.89676060000002,7.808,False,4,36380.36
1159,1,28/05/2010,80.44,2.759,210.89676060000002,7.808,False,5,15784.6
1160,1,28/05/2010,80.44,2.759,210.89676060000002,7.808,False,6,6165.59
1161,1,28/05/2010,80.44,2.759,210.89676060000002,7.808,False,7,36911.59
1162,1,28/05/2010,80.44,2.759,210.89676060000002,7.808,False,8,35046.1
1225,1,04/06/2010,80.69,2.705,211.1764278,7.808,False,1,17558.09
1226,1,04/06/2010,80.69,2.705,211.1764278,7.808,False,2,48754.47
1227,1,04/06/2010,80.69,2.705,211.1764278,7.808,False,3,8001.41
1228,1,04/06/2010,80.69,2.705,211.1764278,7.808,False,4,40548.19
1229,1,04/06/2010,80.69,2.705,211.1764278,7.808,False,5,22932.26
1230,1,04/06/2010,80.69,2.705,211.1764278,7.808,False,6,5484.9
1231,1,04/06/2010,80.69,2.705,211.1764278,7.808,False,7,44563.68
1232,1,04/06/2010,80.69,2.705,211.1764278,7.808,False,8,35181.47
1296,1,11/06/2010,80.43,2.668,211.4560951,7.808,False,1,16637.62
1297,1,11/06/2010,80.43,2.668,211.4560951,7.808,False,2,47089.54
1298,1,11/06/2010,80.43,2.668,211.4560951,7.808,False,3,7742.75
1299,1,11/06/2010,80.43,2.668,211.4560951,7.808,False,4,36579.96
1300,1,11/06/2010,80.43,2.668,211.4560951,7.808,False,5,21817.36
1301,1,11/06/2010,80.43,2.668,211.4560951,7.808,False,6,4082.04
1302,1,11/06/2010,80.43,2.668,211.4560951,7.808,False,7,26910.46
1303,1,11/06/2010,80.43,2.668,211.4560951,7.808,False,8,34036.53
1367,1,18/06/2010,84.11,2.637,211.4537719,7.808,False,1,16216.27
1368,1,18/06/2010,84.11,2.637,211.4537719,7.808,False,2,44428.71
1369,1,18/06/2010,84.11,2.637,211.4537719,7.808,False,3,8201.06
1370,1,18/06/2010,84.11,2.637,211.4537719,7.808,False,4,35059.52
1371,1,18/06/2010,84.11,2.637,211.4537719,7.808,False,5,19778.44
1372,1,18/06/2010,84.11,2.637,211.4537719,7.808,False,6,3902.26
1373,1,18/06/2010,84.11,2.637,211.4537719,7.808,False,7,26984.25
1374,1,18/06/2010,84.11,2.637,211.4537719,7.808,False,8,33387.48
1436,1,25/06/2010,84.34,2.653,211.33865260000002,7.808,False,1,16328.72
1437,1,25/06/2010,84.34,2.653,211.33865260000002,7.808,False,2,45299.92
1438,1,25/06/2010,84.34,2.653,211.33865260000002,7.808,False,3,6591.22
1439,1,25/06/2010,84.34,2.653,211.33865260000002,7.808,False,4,34454.69
1440,1,25/06/2010,84.34,2.653,211.33865260000002,7.808,False,5,19054.58
1441,1,25/06/2010,84.34,2.653,211.33865260000002,7.808,False,6,4239.1
1442,1,25/06/2010,84.34,2.653,211.33865260000002,7.808,False,7,28912.18
1443,1,25/06/2010,84.34,2.653,211.33865260000002,7.808,False,8,33731.24
1505,1,02/07/2010,80.91,2.6689999999999996,211.2235333,7.787000000000001,False,1,16333.14
1506,1,02/07/2010,80.91,2.6689999999999996,211.2235333,7.787000000000001,False,2,47077.72
1507,1,02/07/2010,80.91,2.6689999999999996,211.2235333,7.787000000000001,False,3,7857.88
1508,1,02/07/2010,80.91,2.6689999999999996,211.2235333,7.787000000000001,False,4,39773.71
1509,1,02/07/2010,80.91,2.6689999999999996,211.2235333,7.787000000000001,False,5,18887.71
1510,1,02/07/2010,80.91,2.6689999999999996,211.2235333,7.787000000000001,False,6,4541.91
1511,1,02/07/2010,80.91,2.6689999999999996,211.2235333,7.787000000000001,False,7,22589.0
1512,1,02/07/2010,80.91,2.6689999999999996,211.2235333,7.787000000000001,False,8,35580.01
1578,1,09/07/2010,80.48,2.642,211.108414,7.787000000000001,False,1,17688.76
1579,1,09/07/2010,80.48,2.642,211.108414,7.787000000000001,False,2,46752.12
1580,1,09/07/2010,80.48,2.642,211.108414,7.787000000000001,False,3,8112.67
1581,1,09/07/2010,80.48,2.642,211.108414,7.787000000000001,False,4,39781.45
1582,1,09/07/2010,80.48,2.642,211.108414,7.787000000000001,False,5,20249.54
1583,1,09/07/2010,80.48,2.642,211.108414,7.787000000000001,False,6,4986.25
1584,1,09/07/2010,80.48,2.642,211.108414,7.787000000000001,False,7,22767.34
1585,1,09/07/2010,80.48,2.642,211.108414,7.787000000000001,False,8,34721.25
1649,1,16/07/2010,83.15,2.623,211.10038540000002,7.787000000000001,False,1,17150.84
1650,1,16/07/2010,83.15,2.623,211.10038540000002,7.787000000000001,False,2,44339.2
1651,1,16/07/2010,83.15,2.623,211.10038540000002,7.787000000000001,False,3,13751.3
1652,1,16/07/2010,83.15,2.623,211.10038540000002,7.787000000000001,False,4,35234.66
1653,1,16/07/2010,83.15,2.623,211.10038540000002,7.787000000000001,False,5,17918.22
1654,1,16/07/2010,83.15,2.623,211.10038540000002,7.787000000000001,False,6,4772.7
1655,1,16/07/2010,83.15,2.623,211.10038540000002,7.787000000000001,False,7,22666.55
1656,1,16/07/2010,83.15,2.623,211.10038540000002,7.787000000000001,False,8,33171.72
1719,1,23/07/2010,83.36,2.608,211.2351443,7.787000000000001,False,1,15360.45
1720,1,23/07/2010,83.36,2.608,211.2351443,7.787000000000001,False,2,44763.33
1721,1,23/07/2010,83.36,2.608,211.2351443,7.787000000000001,False,3,16930.62
1722,1,23/07/2010,83.36,2.608,211.2351443,7.787000000000001,False,4,36624.71
1723,1,23/07/2010,83.36,2.608,211.2351443,7.787000000000001,False,5,17313.46
1724,1,23/07/2010,83.36,2.608,211.2351443,7.787000000000001,False,6,5758.04
1725,1,23/07/2010,83.36,2.608,211.2351443,7.787000000000001,False,7,20029.1
1726,1,23/07/2010,83.36,2.608,211.2351443,7.787000000000001,False,8,34350.12
1791,1,30/07/2010,81.84,2.64,211.36990319999995,7.787000000000001,False,1,15381.82
1792,1,30/07/2010,81.84,2.64,211.36990319999995,7.787000000000001,False,2,45833.77
1793,1,30/07/2010,81.84,2.64,211.36990319999995,7.787000000000001,False,3,20915.95
1794,1,30/07/2010,81.84,2.64,211.36990319999995,7.787000000000001,False,4,36419.68
1795,1,30/07/2010,81.84,2.64,211.36990319999995,7.787000000000001,False,5,16472.48
1796,1,30/07/2010,81.84,2.64,211.36990319999995,7.787000000000001,False,6,3932.95
1797,1,30/07/2010,81.84,2.64,211.36990319999995,7.787000000000001,False,7,17709.46
1798,1,30/07/2010,81.84,2.64,211.36990319999995,7.787000000000001,False,8,33568.19
1863,1,06/08/2010,87.16,2.627,211.5046621,7.787000000000001,False,1,17508.41
1864,1,06/08/2010,87.16,2.627,211.5046621,7.787000000000001,False,2,50031.73
1865,1,06/08/2010,87.16,2.627,211.5046621,7.787000000000001,False,3,26719.02
1866,1,06/08/2010,87.16,2.627,211.5046621,7.787000000000001,False,4,40973.88
1867,1,06/08/2010,87.16,2.627,211.5046621,7.787000000000001,False,5,16926.17
1868,1,06/08/2010,87.16,2.627,211.5046621,7.787000000000001,False,6,4700.38
1869,1,06/08/2010,87.16,2.627,211.5046621,7.787000000000001,False,7,21842.57
1870,1,06/08/2010,87.16,2.627,211.5046621,7.787000000000001,False,8,34833.35
1933,1,13/08/2010,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,False,1,15536.4
1934,1,13/08/2010,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,False,2,45475.69
1935,1,13/08/2010,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,False,3,30640.54
1936,1,13/08/2010,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,False,4,36461.66
1937,1,13/08/2010,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,False,5,15544.62
1938,1,13/08/2010,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,False,6,3885.01
1939,1,13/08/2010,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,False,7,19178.36
1940,1,13/08/2010,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,False,8,32326.19
2004,1,20/08/2010,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,False,1,15740.13
2005,1,20/08/2010,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,False,2,49754.17
2006,1,20/08/2010,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,False,3,41101.93
2007,1,20/08/2010,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,False,4,39706.1
2008,1,20/08/2010,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,False,5,15412.44
2009,1,20/08/2010,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,False,6,4067.35
2010,1,20/08/2010,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,False,7,17821.71
2011,1,20/08/2010,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,False,8,32249.35
2076,1,27/08/2010,85.22,2.6189999999999998,211.5673056,7.787000000000001,False,1,15793.87
2077,1,27/08/2010,85.22,2.6189999999999998,211.5673056,7.787000000000001,False,2,49623.53
2078,1,27/08/2010,85.22,2.6189999999999998,211.5673056,7.787000000000001,False,3,51159.17
2079,1,27/08/2010,85.22,2.6189999999999998,211.5673056,7.787000000000001,False,4,36404.6
2080,1,27/08/2010,85.22,2.6189999999999998,211.5673056,7.787000000000001,False,5,13570.32
2081,1,27/08/2010,85.22,2.6189999999999998,211.5673056,7.787000000000001,False,6,3389.29
2082,1,27/08/2010,85.22,2.6189999999999998,211.5673056,7.787000000000001,False,7,16309.44
2083,1,27/08/2010,85.22,2.6189999999999998,211.5673056,7.787000000000001,False,8,31272.68
2146,1,03/09/2010,81.21,2.577,211.53124790000004,7.787000000000001,False,1,16241.78
2147,1,03/09/2010,81.21,2.577,211.53124790000004,7.787000000000001,False,2,49015.05
2148,1,03/09/2010,81.21,2.577,211.53124790000004,7.787000000000001,False,3,19081.8
2149,1,03/09/2010,81.21,2.577,211.53124790000004,7.787000000000001,False,4,38321.88
2150,1,03/09/2010,81.21,2.577,211.53124790000004,7.787000000000001,False,5,15390.52
2151,1,03/09/2010,81.21,2.577,211.53124790000004,7.787000000000001,False,6,3553.75
2152,1,03/09/2010,81.21,2.577,211.53124790000004,7.787000000000001,False,7,18005.65
2153,1,03/09/2010,81.21,2.577,211.53124790000004,7.787000000000001,False,8,35562.68
2218,1,10/09/2010,78.69,2.565,211.49519019999997,7.787000000000001,True,1,18194.74
2219,1,10/09/2010,78.69,2.565,211.49519019999997,7.787000000000001,True,2,45182.5
2220,1,10/09/2010,78.69,2.565,211.49519019999997,7.787000000000001,True,3,12134.69
2221,1,10/09/2010,78.69,2.565,211.49519019999997,7.787000000000001,True,4,36603.78
2222,1,10/09/2010,78.69,2.565,211.49519019999997,7.787000000000001,True,5,17776.56
2223,1,10/09/2010,78.69,2.565,211.49519019999997,7.787000000000001,True,6,4432.69
2224,1,10/09/2010,78.69,2.565,211.49519019999997,7.787000000000001,True,7,20824.49
2225,1,10/09/2010,78.69,2.565,211.49519019999997,7.787000000000001,True,8,32737.89
2290,1,17/09/2010,82.11,2.582,211.5224596,7.787000000000001,False,1,19354.23
2291,1,17/09/2010,82.11,2.582,211.5224596,7.787000000000001,False,2,44681.64
2292,1,17/09/2010,82.11,2.582,211.5224596,7.787000000000001,False,3,10722.46
2293,1,17/09/2010,82.11,2.582,211.5224596,7.787000000000001,False,4,33999.01
2294,1,17/09/2010,82.11,2.582,211.5224596,7.787000000000001,False,5,15862.61
2295,1,17/09/2010,82.11,2.582,211.5224596,7.787000000000001,False,6,4492.88
2296,1,17/09/2010,82.11,2.582,211.5224596,7.787000000000001,False,7,17397.01
2297,1,17/09/2010,82.11,2.582,211.5224596,7.787000000000001,False,8,33762.32
2362,1,24/09/2010,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,False,1,18122.52
2363,1,24/09/2010,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,False,2,42477.49
2364,1,24/09/2010,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,False,3,8097.92
2365,1,24/09/2010,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,False,4,32497.43
2366,1,24/09/2010,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,False,5,17039.38
2367,1,24/09/2010,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,False,6,4601.39
2368,1,24/09/2010,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,False,7,18227.39
2369,1,24/09/2010,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,False,8,31381.97
2433,1,01/10/2010,71.89,2.603,211.6719895,7.837999999999999,False,1,20094.19
2434,1,01/10/2010,71.89,2.603,211.6719895,7.837999999999999,False,2,45829.02
2435,1,01/10/2010,71.89,2.603,211.6719895,7.837999999999999,False,3,9775.17
2436,1,01/10/2010,71.89,2.603,211.6719895,7.837999999999999,False,4,34912.45
2437,1,01/10/2010,71.89,2.603,211.6719895,7.837999999999999,False,5,23381.38
2438,1,01/10/2010,71.89,2.603,211.6719895,7.837999999999999,False,6,2876.19
2439,1,01/10/2010,71.89,2.603,211.6719895,7.837999999999999,False,7,16481.79
2440,1,01/10/2010,71.89,2.603,211.6719895,7.837999999999999,False,8,34658.25
2506,1,08/10/2010,63.93,2.633,211.74675440000001,7.837999999999999,False,1,23388.03
2507,1,08/10/2010,63.93,2.633,211.74675440000001,7.837999999999999,False,2,46387.54
2508,1,08/10/2010,63.93,2.633,211.74675440000001,7.837999999999999,False,3,10081.8
2509,1,08/10/2010,63.93,2.633,211.74675440000001,7.837999999999999,False,4,35772.82
2510,1,08/10/2010,63.93,2.633,211.74675440000001,7.837999999999999,False,5,19853.57
2511,1,08/10/2010,63.93,2.633,211.74675440000001,7.837999999999999,False,6,4168.36
2512,1,08/10/2010,63.93,2.633,211.74675440000001,7.837999999999999,False,7,16350.96
2513,1,08/10/2010,63.93,2.633,211.74675440000001,7.837999999999999,False,8,35966.67
2579,1,15/10/2010,67.18,2.72,211.81374359999998,7.837999999999999,False,1,26978.34
2580,1,15/10/2010,67.18,2.72,211.81374359999998,7.837999999999999,False,2,43110.79
2581,1,15/10/2010,67.18,2.72,211.81374359999998,7.837999999999999,False,3,9735.73
2582,1,15/10/2010,67.18,2.72,211.81374359999998,7.837999999999999,False,4,34693.27
2583,1,15/10/2010,67.18,2.72,211.81374359999998,7.837999999999999,False,5,20443.05
2584,1,15/10/2010,67.18,2.72,211.81374359999998,7.837999999999999,False,6,5024.04
2585,1,15/10/2010,67.18,2.72,211.81374359999998,7.837999999999999,False,7,16296.65
2586,1,15/10/2010,67.18,2.72,211.81374359999998,7.837999999999999,False,8,33747.68
2652,1,22/10/2010,69.86,2.725,211.8612937,7.837999999999999,False,1,25543.04
2653,1,22/10/2010,69.86,2.725,211.8612937,7.837999999999999,False,2,42371.48
2654,1,22/10/2010,69.86,2.725,211.8612937,7.837999999999999,False,3,8614.41
2655,1,22/10/2010,69.86,2.725,211.8612937,7.837999999999999,False,4,32902.26
2656,1,22/10/2010,69.86,2.725,211.8612937,7.837999999999999,False,5,19525.85
2657,1,22/10/2010,69.86,2.725,211.8612937,7.837999999999999,False,6,4291.27
2658,1,22/10/2010,69.86,2.725,211.8612937,7.837999999999999,False,7,15395.27
2659,1,22/10/2010,69.86,2.725,211.8612937,7.837999999999999,False,8,32659.74
2725,1,29/10/2010,69.64,2.716,211.9088438,7.837999999999999,False,1,38640.93
2726,1,29/10/2010,69.64,2.716,211.9088438,7.837999999999999,False,2,44081.33
2727,1,29/10/2010,69.64,2.716,211.9088438,7.837999999999999,False,3,9283.09
2728,1,29/10/2010,69.64,2.716,211.9088438,7.837999999999999,False,4,35202.44
2729,1,29/10/2010,69.64,2.716,211.9088438,7.837999999999999,False,5,16377.46
2730,1,29/10/2010,69.64,2.716,211.9088438,7.837999999999999,False,6,5424.27
2731,1,29/10/2010,69.64,2.716,211.9088438,7.837999999999999,False,7,17598.98
2732,1,29/10/2010,69.64,2.716,211.9088438,7.837999999999999,False,8,34917.77
2797,1,05/11/2010,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,False,1,34238.88
2798,1,05/11/2010,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,False,2,46381.43
2799,1,05/11/2010,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,False,3,9825.22
2800,1,05/11/2010,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,False,4,37980.55
2801,1,05/11/2010,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,False,5,23903.81
2802,1,05/11/2010,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,False,6,5036.99
2803,1,05/11/2010,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,False,7,19136.58
2804,1,05/11/2010,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,False,8,36182.58
2869,1,12/11/2010,59.61,2.728,212.003944,7.837999999999999,False,1,19549.39
2870,1,12/11/2010,59.61,2.728,212.003944,7.837999999999999,False,2,43194.49
2871,1,12/11/2010,59.61,2.728,212.003944,7.837999999999999,False,3,9146.77
2872,1,12/11/2010,59.61,2.728,212.003944,7.837999999999999,False,4,35008.03
2873,1,12/11/2010,59.61,2.728,212.003944,7.837999999999999,False,5,23698.89
