,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
25,2018-03-18,1.16,1113242.82,114754.38,505245.36,5034.83,488208.25,483402.85,2918.73,1886.67,conventional,2018,BaltimoreWashington
26,2018-03-11,1.36,874780.27,104341.22,484252.62,4933.91,281252.52,278834.0,2348.52,70.0,conventional,2018,BaltimoreWashington
27,2018-03-04,1.25,988572.63,102687.68,619501.22,5269.13,261114.6,256822.62,4225.31,66.67,conventional,2018,BaltimoreWashington
28,2018-02-25,1.37,836294.71,104218.01,479773.13,4765.7,247537.87,243370.62,3930.59,236.66,conventional,2018,BaltimoreWashington
29,2018-02-18,1.42,796515.52,92816.97,487724.44,4694.08,211280.03,206322.72,4030.64,926.67,conventional,2018,BaltimoreWashington
30,2018-02-11,1.41,900558.38,112222.95,545365.67,4700.52,238269.24,233808.41,4287.5,173.33,conventional,2018,BaltimoreWashington
31,2018-02-04,1.12,1225103.27,139312.12,708495.55,5611.56,371684.04,369085.25,2512.13,86.66,conventional,2018,BaltimoreWashington
32,2018-01-28,1.12,1152539.42,115283.7,805041.45,4257.45,227956.82,225931.13,2019.02,6.67,conventional,2018,BaltimoreWashington
33,2018-01-21,1.18,1102213.13,129351.87,659069.49,4321.42,309470.35,304382.22,5088.13,0.0,conventional,2018,BaltimoreWashington
34,2018-01-14,1.49,799726.89,91785.6,485963.15,4234.82,217743.32,212956.99,4783.0,3.33,conventional,2018,BaltimoreWashington
35,2018-01-07,1.5,771313.78,89883.07,466602.79,4167.07,210660.85,189304.53,21356.32,0.0,conventional,2018,BaltimoreWashington
36,2018-03-25,1.28,85839.98,40361.51,2026.94,9200.23,34251.3,24809.18,9434.29,7.83,conventional,2018,Boise
37,2018-03-18,1.03,119045.04,49145.38,6654.76,7737.62,55507.28,20536.92,34626.8,343.56,conventional,2018,Boise
38,2018-03-11,1.26,80611.01,28399.47,2279.82,12280.5,37651.22,28668.38,8931.77,51.07,conventional,2018,Boise
39,2018-03-04,1.22,91070.8,44454.46,1835.89,10101.52,34678.93,26585.16,8061.36,32.41,conventional,2018,Boise
40,2018-02-25,1.09,113183.43,42116.22,7518.83,11798.39,51749.99,17586.21,33806.52,357.26,conventional,2018,Boise
41,2018-02-18,1.25,80833.06,39772.8,2363.06,8575.65,30121.55,21029.36,9032.9,59.29,conventional,2018,Boise
42,2018-02-11,,93106.27,48308.72,2816.31,10558.83,31422.41,19862.62,11540.14,19.65,conventional,2018,Boise
43,2018-02-04,1.07,128702.15,39582.33,8511.49,22490.26,58118.07,17470.72,40491.57,155.78,conventional,2018,Boise
44,2018-01-28,1.12,105025.45,66653.8,1971.68,6961.61,29438.36,20717.06,8682.47,38.83,conventional,2018,Boise
45,2018-01-21,1.25,88727.77,49711.32,2157.11,6343.03,30516.31,22463.22,8026.61,26.48,conventional,2018,Boise
46,2018-01-14,1.15,111113.11,49335.23,7414.97,8298.95,46063.96,19135.96,26830.36,97.64,conventional,2018,Boise
47,2018-01-07,1.3,85697.65,45936.53,2658.28,7511.15,29591.69,21784.14,7752.83,54.72,conventional,2018,Boise
48,2018-03-25,1.39,641462.43,26019.52,479186.12,1883.17,134373.62,109938.39,22955.23,1480.0,conventional,2018,Boston
49,2018-03-18,1.38,602177.43,24831.59,443903.93,1853.86,131588.05,101891.24,28125.7,1571.11,conventional,2018,Boston
50,2018-03-11,1.34,629090.87,23641.04,479640.6,1840.01,123969.22,102902.94,19475.17,1591.11,conventional,2018,Boston
51,2018-03-04,1.19,785188.72,20384.08,645988.55,1884.67,116931.42,88147.57,27442.74,1341.11,conventional,2018,Boston
52,2018-02-25,1.41,527274.99,19622.47,376506.86,1796.38,129349.28,112254.26,15890.58,1204.44,conventional,2018,Boston
53,2018-02-18,1.51,515022.94,16054.89,378699.13,2422.76,117846.16,99085.39,17672.99,1087.78,conventional,2018,Boston
54,2018-02-11,1.3,834304.52,23220.89,703749.06,6620.69,100713.88,86124.35,13366.2,1223.33,conventional,2018,Boston
55,2018-02-04,1.39,725934.21,21309.4,566751.03,3293.87,134579.91,98025.22,36068.02,486.67,conventional,2018,Boston
56,2018-01-28,1.22,800274.4,14384.54,680080.04,2656.9,103152.92,77511.92,25561.0,80.0,conventional,2018,Boston
57,2018-01-21,1.12,999783.13,15177.93,865836.92,6492.83,112275.45,85468.78,26806.67,0.0,conventional,2018,Boston
58,2018-01-14,1.49,533150.49,10669.09,393026.08,2533.63,126921.69,81610.31,45311.38,0.0,conventional,2018,Boston
59,2018-01-07,1.28,685417.51,12012.96,557314.83,4961.24,111128.48,58834.32,52294.16,0.0,conventional,2018,Boston
60,2018-03-25,1.21,163592.4,18266.89,82910.91,80.6,62334.0,20541.67,41090.1,702.23,conventional,2018,BuffaloRochester
61,2018-03-18,1.14,166358.32,16300.2,70320.66,63.65,79673.81,22589.43,56334.38,750.0,conventional,2018,BuffaloRochester
62,2018-03-11,1.16,185174.55,18057.75,83259.03,57.09,83800.68,41026.82,41959.42,814.44,conventional,2018,BuffaloRochester
63,2018-03-04,1.19,168190.37,13533.32,75344.69,67.47,79244.89,23485.14,55219.75,540.0,conventional,2018,BuffaloRochester
64,2018-02-25,1.23,151330.38,12862.56,69046.27,64.77,69356.78,43442.45,25218.77,695.56,conventional,2018,BuffaloRochester
65,2018-02-18,1.28,144087.48,10951.83,66055.96,74.08,67005.61,32089.56,34562.71,353.34,conventional,2018,BuffaloRochester
66,2018-02-11,1.27,151057.53,12749.59,74595.11,84.21,63628.62,41236.05,21391.46,1001.11,conventional,2018,BuffaloRochester
67,2018-02-04,1.32,188654.47,13478.37,99364.48,84.19,75727.43,14935.4,60228.7,563.33,conventional,2018,BuffaloRochester
68,2018-01-28,1.27,158637.92,8099.96,76070.49,96.23,74371.24,12060.74,62156.06,154.44,conventional,2018,BuffaloRochester
69,2018-01-21,1.29,161887.27,8269.77,75965.53,61.69,77590.28,26340.41,51249.87,0.0,conventional,2018,BuffaloRochester
70,2018-01-14,1.32,159070.65,8239.41,80916.85,40.26,69874.13,27693.23,42180.9,0.0,conventional,2018,BuffaloRochester
71,2018-01-07,1.28,161876.76,8645.3,92302.56,56.67,60872.23,12248.04,48624.19,0.0,conventional,2018,BuffaloRochester
72,2018-03-25,1.32,258547.55,68088.95,87220.18,5567.45,97670.97,92743.21,4926.65,1.11,conventional,2018,Charlotte
73,2018-03-18,0.99,396324.57,73274.02,93954.85,5330.38,223765.32,218181.7,5583.62,0.0,conventional,2018,Charlotte
74,2018-03-11,1.27,279661.71,72847.8,98059.2,6212.37,102542.34,96038.19,6503.04,1.11,conventional,2018,Charlotte
75,2018-03-04,1.32,259060.74,67459.59,80515.46,6005.97,105079.72,97703.43,7376.29,0.0,conventional,2018,Charlotte
76,2018-02-25,1.34,249254.23,63442.49,91258.71,5678.86,88874.17,86338.79,2535.38,0.0,conventional,2018,Charlotte
77,2018-02-18,1.36,224395.77,53547.46,75445.39,5423.5,89979.42,85685.59,4293.83,0.0,conventional,2018,Charlotte
78,2018-02-11,1.18,262133.71,69727.98,67904.5,5261.66,119239.57,113041.82,6197.75,0.0,conventional,2018,Charlotte
79,2018-02-04,0.99,411160.94,86708.74,99117.46,6476.93,218857.81,208289.93,10567.88,0.0,conventional,2018,Charlotte
80,2018-01-28,1.37,247893.13,68666.93,79639.9,4802.79,94783.51,89456.12,5327.39,0.0,conventional,2018,Charlotte
81,2018-01-21,1.11,331324.99,74246.57,80371.21,4657.83,172049.38,165016.97,7031.3,1.11,conventional,2018,Charlotte
82,2018-01-14,1.38,251260.54,60751.23,97094.95,5512.27,87902.09,82964.19,4937.9,0.0,conventional,2018,Charlotte
83,2018-01-07,1.36,243301.08,69157.01,80320.79,4915.1,88908.18,84280.34,4627.84,0.0,conventional,2018,Charlotte
84,2018-03-25,1.36,908202.13,142681.06,463136.28,174975.75,127409.04,103579.41,22467.04,1362.59,conventional,2018,Chicago
85,2018-03-18,1.42,841171.24,85185.29,435552.05,174149.72,146284.18,110035.76,34764.91,1483.51,conventional,2018,Chicago
86,2018-03-11,1.54,830421.03,95041.64,454041.33,142564.1,138773.96,100438.58,37184.96,1150.42,conventional,2018,Chicago
87,2018-03-04,1.53,820728.47,109595.38,465039.55,104755.22,141338.32,97377.72,42517.93,1442.67,conventional,2018,Chicago
88,2018-02-25,1.51,794925.31,74465.63,452448.67,131640.53,136370.48,91023.86,44466.75,879.87,conventional,2018,Chicago
89,2018-02-18,1.53,736317.26,67207.4,403149.52,131732.99,134227.35,98803.7,35146.84,276.81,conventional,2018,Chicago
90,2018-02-11,1.39,897178.36,131360.75,488374.4,154223.75,123219.46,85210.17,37063.73,945.56,conventional,2018,Chicago
91,2018-02-04,0.88,1802646.35,257095.68,1235325.42,158735.41,151489.84,91953.59,59112.77,423.48,conventional,2018,Chicago
92,2018-01-28,1.36,947968.47,108233.69,515116.55,124271.04,200347.19,79871.28,120462.37,13.54,conventional,2018,Chicago
93,2018-01-21,1.42,951648.11,110759.53,473797.46,154585.97,212505.15,79124.15,133370.44,10.56,conventional,2018,Chicago
94,2018-01-14,1.64,762997.53,82376.44,440322.05,134141.55,106157.49,93374.57,12782.92,0.0,conventional,2018,Chicago
95,2018-01-07,1.5,842141.42,132853.21,475772.58,139314.8,94200.83,85019.84,9161.86,19.13,conventional,2018,Chicago
96,2018-03-25,1.08,277267.97,70493.35,27183.18,9616.52,169974.92,140702.4,20939.89,8332.63,conventional,2018,CincinnatiDayton
97,2018-03-18,1.07,245062.31,68444.95,16626.16,10114.52,149876.68,119963.26,25174.42,4739.0,conventional,2018,CincinnatiDayton
98,2018-03-11,1.01,275804.74,65139.45,22713.79,10175.31,177776.19,146773.92,30140.64,861.63,conventional,2018,CincinnatiDayton
99,2018-03-04,1.02,265942.15,69312.67,20912.27,9651.63,166065.58,146627.38,14918.25,4519.95,conventional,2018,CincinnatiDayton
100,2018-02-25,1.03,263363.41,59106.97,31605.03,9097.03,163554.38,135219.03,24337.13,3998.22,conventional,2018,CincinnatiDayton
101,2018-02-18,0.83,231729.88,71473.92,15783.23,7110.53,137362.2,108121.76,28080.54,1159.9,conventional,2018,CincinnatiDayton
102,2018-02-11,,305400.41,98065.66,31216.87,11211.24,164906.64,124062.8,34478.97,6364.87,conventional,2018,CincinnatiDayton
103,2018-02-04,0.76,380214.74,102019.45,67966.25,13825.01,196404.03,165544.38,29548.07,1311.58,conventional,2018,CincinnatiDayton
104,2018-01-28,0.92,281913.49,78131.98,27858.19,11786.66,164136.66,155062.73,9071.23,2.7,conventional,2018,CincinnatiDayton
105,2018-01-21,0.89,321809.3,92142.87,54830.94,12823.81,162011.68,148818.14,13170.73,22.81,conventional,2018,CincinnatiDayton
106,2018-01-14,1.15,243366.13,59620.01,30542.73,19975.22,133228.17,123961.02,9260.42,6.73,conventional,2018,CincinnatiDayton
107,2018-01-07,0.91,303592.92,98045.53,37713.62,18889.29,148944.48,130642.78,18046.8,254.9,conventional,2018,CincinnatiDayton
108,2018-03-25,0.96,264778.18,77671.02,21732.24,3272.61,162102.31,133163.77,28160.04,778.5,conventional,2018,Columbus
109,2018-03-18,1.01,216897.74,62775.9,15964.09,2293.97,135863.78,95448.1,39893.13,522.55,conventional,2018,Columbus
110,2018-03-11,1.05,,60498.56,22813.02,2942.75,125853.54,85932.68,39844.53,76.33,conventional,2018,Columbus
111,2018-03-04,1.04,207531.29,61462.7,17792.45,2208.68,126067.46,103725.06,21557.69,784.71,conventional,2018,Columbus
112,2018-02-25,1.03,209180.18,55429.58,28466.82,3406.16,121877.62,85192.08,34250.82,2434.72,conventional,2018,Columbus
113,2018-02-18,1.02,179193.25,47570.1,13758.25,2239.22,115625.68,76906.83,36898.98,1819.87,conventional,2018,Columbus
114,2018-02-11,0.82,218329.7,79239.58,26356.05,2998.74,109735.33,73393.34,34338.97,2003.02,conventional,2018,Columbus
115,2018-02-04,0.73,333398.29,108554.97,61748.67,5329.61,157765.04,117614.03,39927.3,223.71,conventional,2018,Columbus
116,2018-01-28,1.03,187523.2,60555.62,23671.37,3175.28,100120.93,83156.44,16932.05,32.44,conventional,2018,Columbus
117,2018-01-21,0.99,214353.02,75486.73,52395.54,4298.3,82172.45,63261.5,18897.31,13.64,conventional,2018,Columbus
118,2018-01-14,1.07,194619.31,77236.77,24462.37,3266.68,89653.49,75499.35,14125.61,28.53,conventional,2018,Columbus
119,2018-01-07,0.84,,112638.98,32262.19,4167.93,107688.5,89971.36,17360.9,356.24,conventional,2018,Columbus
120,2018-03-25,0.73,1803351.21,788734.28,219585.81,6423.31,788607.81,673212.32,94356.41,21039.08,conventional,2018,DallasFtWorth
121,2018-03-18,0.87,1362250.25,656842.99,247599.72,4978.69,452828.85,329530.61,103951.68,19346.56,conventional,2018,DallasFtWorth
122,2018-03-11,0.87,1356159.96,688566.31,213463.41,5709.3,448420.94,329344.14,100310.59,18766.21,conventional,2018,DallasFtWorth
123,2018-03-04,0.77,1501141.58,673535.25,263895.18,6341.68,557369.47,449577.44,86867.63,20924.4,conventional,2018,DallasFtWorth
124,2018-02-25,0.74,1616898.5,807933.71,231111.57,6306.38,571546.84,477107.45,75376.35,19063.04,conventional,2018,DallasFtWorth
125,2018-02-18,0.77,1421970.53,780856.19,250380.23,5033.93,385700.18,268220.8,102051.19,15428.19,conventional,2018,DallasFtWorth
126,2018-02-11,0.72,1553404.16,768415.85,212945.5,5327.13,566715.68,461849.3,87861.7,17004.68,conventional,2018,DallasFtWorth
127,2018-02-04,0.67,1885401.44,855815.37,340887.07,6655.47,682043.53,583353.2,86725.24,11965.09,conventional,2018,DallasFtWorth
128,2018-01-28,0.82,1433095.36,781164.88,187033.59,5596.69,459300.2,378776.69,80095.8,427.71,conventional,2018,DallasFtWorth
129,2018-01-21,0.85,1437239.09,728035.0,216211.98,6291.83,486700.28,410340.65,76287.17,72.46,conventional,2018,DallasFtWorth
130,2018-01-14,0.93,1333180.68,677477.52,316020.36,7862.07,331820.73,240134.19,91381.56,304.98,conventional,2018,DallasFtWorth
131,2018-01-07,0.92,,587439.51,258369.66,5543.59,288857.62,183640.29,104915.08,302.25,conventional,2018,DallasFtWorth
132,2018-03-25,1.02,950483.37,176286.79,222958.27,16540.62,534697.69,121655.4,413042.29,0.0,conventional,2018,Denver
133,2018-03-18,1.02,1010953.71,163394.48,260747.73,15483.84,571327.66,129403.31,441922.13,2.22,conventional,2018,Denver
134,2018-03-11,1.16,788107.23,159389.01,205340.23,16598.6,406779.39,156327.39,250452.0,0.0,conventional,2018,Denver
135,2018-03-04,1.01,934460.44,192776.45,258652.66,15526.86,467504.47,137337.91,330166.56,0.0,conventional,2018,Denver
136,2018-02-25,0.99,1018614.31,166753.37,254657.74,14153.31,583049.89,137052.52,445944.87,52.5,conventional,2018,Denver
137,2018-02-18,1.16,743979.81,159850.99,197244.92,12929.9,373954.0,126126.99,247827.01,0.0,conventional,2018,Denver
138,2018-02-11,0.91,1056054.41,234995.54,251174.58,13754.34,556129.95,86599.13,469530.82,0.0,conventional,2018,Denver
139,2018-02-04,0.87,1381528.74,234985.26,468889.32,11698.36,665955.8,88502.27,577453.53,0.0,conventional,2018,Denver
140,2018-01-28,1.15,773218.13,181751.78,215803.07,9803.85,365859.43,111320.37,254537.95,1.11,conventional,2018,Denver
141,2018-01-21,1.16,872673.39,147297.68,233968.98,14834.26,476572.47,101867.53,374703.83,1.11,conventional,2018,Denver
142,2018-01-14,1.1,1003142.47,178992.28,323916.08,11963.62,488270.49,121454.8,366815.69,0.0,conventional,2018,Denver
143,2018-01-07,1.01,963849.75,184830.15,292349.16,14102.19,472568.25,112396.9,360171.35,0.0,conventional,2018,Denver
144,2018-03-25,1.15,477637.43,82568.15,72460.6,62078.52,260530.16,211303.55,21812.97,27413.64,conventional,2018,Detroit
145,2018-03-18,1.09,428600.2,82792.93,43727.67,29920.79,272158.81,220038.13,37118.17,15002.51,conventional,2018,Detroit
146,2018-03-11,1.14,443295.3,82676.76,65334.67,47721.41,247562.46,178042.93,49942.51,19577.02,conventional,2018,Detroit
147,2018-03-04,1.18,400047.47,89601.76,41375.29,26105.84,242964.58,216775.85,13655.21,12533.52,conventional,2018,Detroit
148,2018-02-25,1.08,464413.57,72595.4,90296.46,53864.5,247657.21,185976.63,32253.35,29427.23,conventional,2018,Detroit
149,2018-02-18,1.11,361966.97,70416.79,33890.23,18889.7,238770.25,177738.87,48953.96,12077.42,conventional,2018,Detroit
150,2018-02-11,0.92,435384.45,123642.25,73381.42,26265.23,212095.55,156008.05,42872.58,13214.92,conventional,2018,Detroit
151,2018-02-04,0.67,880540.45,167512.7,287359.89,60027.97,365639.89,266930.49,89516.48,9192.92,conventional,2018,Detroit
152,2018-01-28,1.14,367456.05,80917.0,70055.35,14554.29,201929.41,177720.43,23023.66,1185.32,conventional,2018,Detroit
153,2018-01-21,0.96,570161.95,87365.29,220100.47,46163.59,216532.6,146574.63,65171.17,4786.8,conventional,2018,Detroit
154,2018-01-14,1.18,369628.1,94963.97,60826.16,13812.28,200025.69,162745.09,36032.53,1248.07,conventional,2018,Detroit
155,2018-01-07,0.92,512142.96,164665.38,81248.88,23315.8,242912.9,195595.55,45090.53,2226.82,conventional,2018,Detroit
156,2018-03-25,1.47,207028.28,2946.6,85213.8,63349.05,55518.83,29054.93,7662.55,18801.35,conventional,2018,GrandRapids
157,2018-03-18,1.4,175969.31,3261.54,64300.91,35087.55,73319.31,55491.01,6112.96,11715.34,conventional,2018,GrandRapids
158,2018-03-11,1.43,191286.89,3195.61,75173.54,55327.24,57590.5,32676.64,8368.93,16544.93,conventional,2018,GrandRapids
159,2018-03-04,1.74,137419.7,2687.59,54299.89,29572.84,50859.38,33939.14,7138.74,9781.5,conventional,2018,GrandRapids
160,2018-02-25,1.27,208279.53,2534.14,86121.81,63728.61,55894.97,27041.98,11484.9,17368.09,conventional,2018,GrandRapids
161,2018-02-18,1.52,143871.75,1921.26,46210.79,26232.82,69506.88,55370.67,5586.21,8550.0,conventional,2018,GrandRapids
162,2018-02-11,1.4,167604.6,3619.4,80530.3,42489.31,40965.59,25201.76,2735.5,13028.33,conventional,2018,GrandRapids
163,2018-02-04,0.88,408921.57,4371.02,193222.08,143538.35,67790.12,22315.79,1765.51,43708.82,conventional,2018,GrandRapids
164,2018-01-28,1.55,162674.55,2937.98,86845.82,30069.97,42820.78,31880.77,1661.64,9278.37,conventional,2018,GrandRapids
165,2018-01-21,1.01,349565.06,2991.23,143928.98,137321.51,65323.34,23516.4,1183.72,40623.22,conventional,2018,GrandRapids
166,2018-01-14,1.63,,2444.54,60928.74,30487.47,38855.9,27912.73,1824.11,9119.06,conventional,2018,GrandRapids
167,2018-01-07,1.35,169476.04,2865.76,75494.46,45133.04,45982.78,29085.45,3455.76,13441.57,conventional,2018,GrandRapids
168,2018-03-25,1.21,330371.24,87782.44,137599.47,131.89,104857.44,95210.59,7089.08,2557.77,conventional,2018,HarrisburgScranton
169,2018-03-18,1.18,299740.63,75911.89,121945.84,200.48,101682.42,98656.62,725.8,2300.0,conventional,2018,HarrisburgScranton
170,2018-03-11,1.22,279645.04,65731.37,115236.06,174.48,98503.13,87461.84,9219.07,1822.22,conventional,2018,HarrisburgScranton
171,2018-03-04,1.21,289090.98,65788.57,130046.74,150.9,93104.77,82676.57,8658.2,1770.0,conventional,2018,HarrisburgScranton
172,2018-02-25,1.24,281655.48,63582.79,127685.46,166.92,90220.31,78774.1,9426.21,2020.0,conventional,2018,HarrisburgScranton
173,2018-02-18,1.25,277022.82,67138.92,129856.77,111.37,79915.76,71649.0,6605.65,1661.11,conventional,2018,HarrisburgScranton
174,2018-02-11,1.09,321368.64,77585.95,165153.24,116.39,78513.06,72248.7,4766.58,1497.78,conventional,2018,HarrisburgScranton
175,2018-02-04,1.16,395673.05,92062.94,211176.35,157.51,92276.25,89502.17,1977.41,796.67,conventional,2018,HarrisburgScranton
176,2018-01-28,1.15,299069.36,101247.63,112796.55,129.6,84895.58,84111.58,447.33,336.67,conventional,2018,HarrisburgScranton
177,2018-01-21,1.14,345436.84,125847.54,136876.39,168.16,82544.75,79398.89,3142.53,3.33,conventional,2018,HarrisburgScranton
178,2018-01-14,1.25,277616.71,80067.78,121405.45,189.01,75954.47,62453.61,13500.86,0.0,conventional,2018,HarrisburgScranton
179,2018-01-07,1.33,257281.38,57546.66,128633.39,70.97,71030.36,57822.58,13207.78,0.0,conventional,2018,HarrisburgScranton
180,2018-03-25,1.44,345963.16,17715.06,243023.15,242.2,84982.75,82409.99,1066.1,1506.66,conventional,2018,HartfordSpringfield
181,2018-03-18,1.43,308716.16,16506.01,218357.11,217.92,73635.12,68741.49,3282.52,1611.11,conventional,2018,HartfordSpringfield
182,2018-03-11,1.42,314847.26,17765.06,215834.18,183.31,81064.71,66170.41,13298.75,1595.55,conventional,2018,HartfordSpringfield
183,2018-03-04,1.17,432095.58,15615.69,347650.33,272.95,68556.61,64366.72,3032.11,1157.78,conventional,2018,HartfordSpringfield
184,2018-02-25,1.45,289607.63,13661.98,196776.63,314.45,78854.57,68300.92,9368.09,1185.56,conventional,2018,HartfordSpringfield
185,2018-02-18,1.42,283265.66,11150.75,209791.73,212.96,62110.22,60822.76,386.35,901.11,conventional,2018,HartfordSpringfield
186,2018-02-11,1.48,352731.83,14675.9,270215.97,208.1,67631.86,65856.28,744.47,1031.11,conventional,2018,HartfordSpringfield
187,2018-02-04,1.38,427950.71,11605.62,345582.17,1100.67,69662.25,67967.4,1438.65,256.2,conventional,2018,HartfordSpringfield
188,2018-01-28,1.18,432600.1,7854.32,360244.35,237.31,64264.12,60495.46,3601.99,166.67,conventional,2018,HartfordSpringfield
189,2018-01-21,1.18,474554.55,8065.55,407711.57,175.38,58602.05,56135.81,2459.57,6.67,conventional,2018,HartfordSpringfield
190,2018-01-14,1.53,289124.31,6006.14,215891.85,128.82,67097.5,60219.1,6878.4,0.0,conventional,2018,HartfordSpringfield
191,2018-01-07,1.52,283678.88,5732.13,214934.82,136.28,62875.65,49441.07,13434.58,0.0,conventional,2018,HartfordSpringfield
192,2018-03-25,0.56,2120511.03,837700.97,162473.38,4190.48,1116146.2,952254.7,161188.17,2703.33,conventional,2018,Houston
193,2018-03-18,0.79,1243926.96,630826.45,184825.84,4011.21,424263.46,322054.35,99304.67,2904.44,conventional,2018,Houston
194,2018-03-11,0.83,1324475.69,614152.38,162269.94,4184.08,543869.29,432316.21,110079.75,1473.33,conventional,2018,Houston
195,2018-03-04,0.71,1501699.41,701418.48,176206.5,3827.34,620247.09,528247.89,91441.42,557.78,conventional,2018,Houston
196,2018-02-25,0.67,1657524.28,855570.87,147837.21,3976.08,650140.12,544537.0,105365.34,237.78,conventional,2018,Houston
197,2018-02-18,0.68,1572064.61,931553.8,160780.41,4045.42,475684.98,372117.42,103276.45,291.11,conventional,2018,Houston
198,2018-02-11,0.58,1870874.72,801390.67,156458.96,4407.32,908617.77,747968.17,160355.16,294.44,conventional,2018,Houston
199,2018-02-04,0.56,2381742.59,952746.89,300383.28,7990.32,1120622.1,1010539.42,109978.24,104.44,conventional,2018,Houston
200,2018-01-28,0.71,1647858.32,832418.81,103716.17,17666.27,694057.07,609576.26,84377.48,103.33,conventional,2018,Houston
201,2018-01-21,0.78,1584416.56,651432.75,153445.45,10598.32,768940.04,683790.27,85149.77,0.0,conventional,2018,Houston
202,2018-01-14,0.95,1316347.07,548774.22,292561.6,6066.33,468944.92,355573.55,113294.7,76.67,conventional,2018,Houston
203,2018-01-07,0.8,1390616.83,658828.73,171364.98,3656.03,556767.09,446637.02,110130.07,0.0,conventional,2018,Houston
204,2018-03-25,,228837.36,53795.52,53103.06,7008.97,114929.81,96343.12,15834.92,2751.77,conventional,2018,Indianapolis
205,2018-03-18,1.01,209169.31,51782.0,34392.89,8471.15,114523.27,98947.12,12343.98,3232.17,conventional,2018,Indianapolis
206,2018-03-11,1.0,227995.61,56419.41,46098.37,6226.22,119251.61,104102.69,13239.57,1909.35,conventional,2018,Indianapolis
207,2018-03-04,1.09,207466.39,52161.49,35083.44,5581.83,114639.63,99830.1,11245.17,3564.36,conventional,2018,Indianapolis
208,2018-02-25,1.06,196615.34,37683.05,50954.95,6621.44,101355.9,74496.52,21698.04,5161.34,conventional,2018,Indianapolis
209,2018-02-18,0.91,186523.76,48716.42,27782.65,4155.93,105868.76,86145.76,17865.71,1857.29,conventional,2018,Indianapolis
210,2018-02-11,0.81,258008.01,86439.93,52397.39,5258.07,113912.62,90091.1,21306.88,2514.64,conventional,2018,Indianapolis
