Store,Dept,Date,Weekly_Sales
Seattle,Outdoor,3/9/2010,7450.07
Seattle,Clothing,3/9/2010,34713.96
Seattle,Furniture,3/9/2010,20452.49
Seattle,Toys,3/9/2010,65257.74
Seattle,Jewelry,3/9/2010,59177.53
Seattle,Shoes,3/9/2010,37396.86
Seattle,Housewares,3/9/2010,93677.66
Buffalo,Toys,3/12/2010,7775.2
Buffalo,Electronics,3/12/2010,14779.36
Buffalo,Outdoor,3/12/2010,2527.06
Buffalo,Furniture,3/12/2010,4732.03
Buffalo,Jewelry,3/12/2010,8544.43
Buffalo,Housewares,3/12/2010,16093.58
Buffalo,Clothing,3/12/2010,7442.48
Buffalo,Shoes,3/12/2010,16011.2
Las Vegas,Clothing,3/12/2010,22517.56
Las Vegas,Shoes,3/12/2010,47406.83
Las Vegas,Jewelry,3/12/2010,37110.55
Las Vegas,Furniture,3/12/2010,10856.85
Las Vegas,Housewares,3/12/2010,44405.02
Las Vegas,Toys,3/12/2010,36222.74
Las Vegas,Outdoor,3/12/2010,6356.96
Las Vegas,Electronics,3/12/2010,36472.02
Los Angeles,Housewares,3/12/2010,62758.12
Los Angeles,Electronics,3/12/2010,48750.32
Los Angeles,Jewelry,3/12/2010,45630.41
Los Angeles,Furniture,3/12/2010,15463.76
Los Angeles,Outdoor,3/12/2010,7397.88
Los Angeles,Toys,3/12/2010,58172.84
Los Angeles,Clothing,3/12/2010,30662.62
Los Angeles,Shoes,3/12/2010,94720.59
Seattle,Electronics,3/12/2010,72434.86
Seattle,Shoes,3/12/2010,90879.23
Seattle,Clothing,3/12/2010,36639.21
Seattle,Toys,3/12/2010,64423.09
Seattle,Jewelry,3/12/2010,54740.6
Seattle,Housewares,3/12/2010,89556.97
Seattle,Outdoor,3/12/2010,12310.44
Seattle,Furniture,3/12/2010,15184.19
Buffalo,Electronics,3/19/2010,9527.14
Buffalo,Housewares,3/19/2010,14631.7
Buffalo,Shoes,3/19/2010,9059.91
Buffalo,Clothing,3/19/2010,5118.12
Buffalo,Furniture,3/19/2010,2444.09
Buffalo,Outdoor,3/19/2010,1934.96
Buffalo,Toys,3/19/2010,8325.46
Buffalo,Jewelry,3/19/2010,7043.63
Las Vegas,Toys,3/19/2010,34188.52
Las Vegas,Housewares,3/19/2010,43615.49
Las Vegas,Shoes,3/19/2010,22711.59
Las Vegas,Outdoor,3/19/2010,4906.05
Las Vegas,Clothing,3/19/2010,22136.64
Las Vegas,Electronics,3/19/2010,22632.57
Las Vegas,Furniture,3/19/2010,9001.37
Las Vegas,Jewelry,3/19/2010,34118.11
Los Angeles,Clothing,3/19/2010,28446.92
Los Angeles,Furniture,3/19/2010,10394.28
Los Angeles,Jewelry,3/19/2010,44622.56
Los Angeles,Electronics,3/19/2010,33232.94
Los Angeles,Outdoor,3/19/2010,6365.82
Los Angeles,Toys,3/19/2010,60353.6
Los Angeles,Housewares,3/19/2010,64307.01
Los Angeles,Shoes,3/19/2010,33700.33
Seattle,Furniture,3/19/2010,12392.87
Seattle,Electronics,3/19/2010,43853.69
Seattle,Clothing,3/19/2010,30853.27
Seattle,Housewares,3/19/2010,81217.33
Seattle,Toys,3/19/2010,63266.15
Seattle,Jewelry,3/19/2010,51535.33
Seattle,Shoes,3/19/2010,34561.51
Seattle,Outdoor,3/19/2010,8327.49
Buffalo,Shoes,3/26/2010,6300.21
Buffalo,Electronics,3/26/2010,12599.55
Buffalo,Outdoor,3/26/2010,1176.62
Buffalo,Toys,3/26/2010,7789.68
Buffalo,Jewelry,3/26/2010,6938.17
Buffalo,Furniture,3/26/2010,4302.59
Buffalo,Housewares,3/26/2010,14044.59
Buffalo,Clothing,3/26/2010,6620.12
Las Vegas,Electronics,3/26/2010,38971.89
Las Vegas,Furniture,3/26/2010,10366.85
Las Vegas,Outdoor,3/26/2010,7468.33
Las Vegas,Jewelry,3/26/2010,33872.07
Las Vegas,Toys,3/26/2010,33581.72
Las Vegas,Housewares,3/26/2010,41892.55
Las Vegas,Clothing,3/26/2010,26229.21
Las Vegas,Shoes,3/26/2010,16254.21
Los Angeles,Furniture,3/26/2010,12406.44
Los Angeles,Outdoor,3/26/2010,7594.56
Los Angeles,Clothing,3/26/2010,32213.99
Los Angeles,Housewares,3/26/2010,59770.18
Los Angeles,Electronics,3/26/2010,51778.35
Los Angeles,Shoes,3/26/2010,25149.21
Los Angeles,Toys,3/26/2010,55825.44
Los Angeles,Jewelry,3/26/2010,41455.34
Seattle,Electronics,3/26/2010,67751.87
Seattle,Clothing,3/26/2010,33401.19
Seattle,Jewelry,3/26/2010,47886.96
Seattle,Housewares,3/26/2010,75726.7
Seattle,Furniture,3/26/2010,10421.5
Seattle,Outdoor,3/26/2010,4542.13
Seattle,Toys,3/26/2010,64294.52
Seattle,Shoes,3/26/2010,33280.76
Buffalo,Housewares,4/6/2010,17083.4
Buffalo,Clothing,4/6/2010,5020.1
Buffalo,Toys,4/6/2010,8599.23
Buffalo,Outdoor,4/6/2010,1487.64
Buffalo,Shoes,4/6/2010,11939.29
Buffalo,Furniture,4/6/2010,3408.74
Buffalo,Jewelry,4/6/2010,8765.89
Buffalo,Electronics,4/6/2010,9100.17
Las Vegas,Outdoor,4/6/2010,5484.9
Las Vegas,Housewares,4/6/2010,48754.47
Las Vegas,Electronics,4/6/2010,22932.26
Las Vegas,Toys,4/6/2010,35181.47
Las Vegas,Furniture,4/6/2010,8001.41
Las Vegas,Jewelry,4/6/2010,40548.19
Las Vegas,Shoes,4/6/2010,44563.68
Las Vegas,Clothing,4/6/2010,17558.09
Los Angeles,Electronics,4/6/2010,29784.34
Los Angeles,Shoes,4/6/2010,62903.1
Los Angeles,Toys,4/6/2010,61463.29
Los Angeles,Outdoor,4/6/2010,11352.12
Los Angeles,Housewares,4/6/2010,68994.35
Los Angeles,Clothing,4/6/2010,23869.17
Los Angeles,Jewelry,4/6/2010,49732.37
Los Angeles,Furniture,4/6/2010,11859.68
Seattle,Furniture,4/6/2010,10522.11
Seattle,Clothing,4/6/2010,25702.66
Seattle,Toys,4/6/2010,62756.76
Seattle,Jewelry,4/6/2010,55355.78
Seattle,Shoes,4/6/2010,59143.72
Seattle,Electronics,4/6/2010,37445.96
Seattle,Housewares,4/6/2010,83294.12
Seattle,Outdoor,4/6/2010,9864.87
Buffalo,Jewelry,4/16/2010,7529.02
Buffalo,Electronics,4/16/2010,6847.45
Buffalo,Toys,4/16/2010,8304.35
Buffalo,Outdoor,4/16/2010,1379.74
Buffalo,Clothing,4/16/2010,4061.89
Buffalo,Furniture,4/16/2010,3402.61
Buffalo,Housewares,4/16/2010,14846.32
Buffalo,Shoes,4/16/2010,5300.39
Las Vegas,Housewares,4/16/2010,45025.02
Las Vegas,Electronics,4/16/2010,11570.27
Las Vegas,Clothing,4/16/2010,17596.96
Las Vegas,Shoes,4/16/2010,19330.26
Las Vegas,Jewelry,4/16/2010,34740.19
Las Vegas,Toys,4/16/2010,32890.54
Las Vegas,Outdoor,4/16/2010,5020.78
Las Vegas,Furniture,4/16/2010,9226.8
Los Angeles,Clothing,4/16/2010,21308.59
Los Angeles,Housewares,4/16/2010,65172.2
Los Angeles,Shoes,4/16/2010,29678.87
Los Angeles,Jewelry,4/16/2010,43463.55
Los Angeles,Electronics,4/16/2010,20090.55
Los Angeles,Toys,4/16/2010,56653.63
Los Angeles,Outdoor,4/16/2010,5984.9
Los Angeles,Furniture,4/16/2010,11547.5
Seattle,Toys,4/16/2010,65662.06
Seattle,Shoes,4/16/2010,33306.54
Seattle,Electronics,4/16/2010,27692.81
Seattle,Jewelry,4/16/2010,53694.53
Seattle,Clothing,4/16/2010,27744.54
Seattle,Furniture,4/16/2010,11298.1
Seattle,Outdoor,4/16/2010,6973.22
Seattle,Housewares,4/16/2010,84643.38
Buffalo,Clothing,4/23/2010,4417.17
Buffalo,Outdoor,4/23/2010,1939.2
Buffalo,Furniture,4/23/2010,4006.1
Buffalo,Shoes,4/23/2010,6638.58
Buffalo,Housewares,4/23/2010,14182.84
Buffalo,Jewelry,4/23/2010,7497.25
Buffalo,Electronics,4/23/2010,7482.34
Buffalo,Toys,4/23/2010,8371.01
Las Vegas,Electronics,4/23/2010,24763.98
Las Vegas,Clothing,4/23/2010,16145.35
Las Vegas,Jewelry,4/23/2010,33806.71
Las Vegas,Outdoor,4/23/2010,3945.19
Las Vegas,Toys,4/23/2010,32946.13
Las Vegas,Furniture,4/23/2010,8868.93
Las Vegas,Housewares,4/23/2010,44418.11
Las Vegas,Shoes,4/23/2010,18534.4
Los Angeles,Shoes,4/23/2010,26686.75
Los Angeles,Electronics,4/23/2010,31805.87
Los Angeles,Furniture,4/23/2010,11862.26
Los Angeles,Outdoor,4/23/2010,6293.49
Los Angeles,Jewelry,4/23/2010,43703.76
Los Angeles,Housewares,4/23/2010,66471.86
Los Angeles,Clothing,4/23/2010,22163.12
Los Angeles,Toys,4/23/2010,59203.94
Seattle,Housewares,4/23/2010,82631.69
Seattle,Furniture,4/23/2010,11736.06
Seattle,Clothing,4/23/2010,23961.8
Seattle,Toys,4/23/2010,62894.51
Seattle,Electronics,4/23/2010,38166.16
Seattle,Outdoor,4/23/2010,9047.22
Seattle,Shoes,4/23/2010,32030.76
Seattle,Jewelry,4/23/2010,51630.47
Buffalo,Outdoor,4/30/2010,1682.66
Buffalo,Jewelry,4/30/2010,7363.77
Buffalo,Furniture,4/30/2010,2812.94
Buffalo,Electronics,4/30/2010,7202.76
Buffalo,Housewares,4/30/2010,14019.26
Buffalo,Shoes,4/30/2010,6388.07
Buffalo,Toys,4/30/2010,8614.63
Buffalo,Clothing,4/30/2010,4159.25
Las Vegas,Outdoor,4/30/2010,4736.15
Las Vegas,Toys,4/30/2010,34168.23
Las Vegas,Furniture,4/30/2010,9337.44
Las Vegas,Shoes,4/30/2010,22723.48
Las Vegas,Jewelry,4/30/2010,33437.8
Las Vegas,Clothing,4/30/2010,16555.11
Las Vegas,Housewares,4/30/2010,45971.3
Las Vegas,Electronics,4/30/2010,22006.41
Los Angeles,Jewelry,4/30/2010,42829.7
Los Angeles,Electronics,4/30/2010,29088.16
Los Angeles,Furniture,4/30/2010,11867.75
Los Angeles,Clothing,4/30/2010,24066.2
Los Angeles,Housewares,4/30/2010,65054.02
Los Angeles,Shoes,4/30/2010,29456.07
Los Angeles,Toys,4/30/2010,57540.12
Los Angeles,Outdoor,4/30/2010,6215.07
Seattle,Furniture,4/30/2010,11264.87
Seattle,Electronics,4/30/2010,37306.35
Seattle,Housewares,4/30/2010,82676.37
Seattle,Outdoor,4/30/2010,11508.02
Seattle,Toys,4/30/2010,64566.88
Seattle,Shoes,4/30/2010,33645.9
Seattle,Jewelry,4/30/2010,52820.8
Seattle,Clothing,4/30/2010,25076
Buffalo,Electronics,5/2/2010,15051.48
Buffalo,Toys,5/2/2010,9556.23
Buffalo,Jewelry,5/2/2010,8495.1
Buffalo,Outdoor,5/2/2010,2181.93
Buffalo,Furniture,5/2/2010,4710.29
Buffalo,Clothing,5/2/2010,6453.58
Buffalo,Shoes,5/2/2010,8914.32
Buffalo,Housewares,5/2/2010,17566.72
Las Vegas,Shoes,5/2/2010,21084.08
Las Vegas,Toys,5/2/2010,40129.01
Las Vegas,Outdoor,5/2/2010,5749.03
Las Vegas,Electronics,5/2/2010,32229.38
Las Vegas,Clothing,5/2/2010,24924.5
Las Vegas,Housewares,5/2/2010,50605.27
Las Vegas,Furniture,5/2/2010,13740.12
Las Vegas,Jewelry,5/2/2010,39954.04
Los Angeles,Shoes,5/2/2010,28512.95
Los Angeles,Housewares,5/2/2010,74661.16
Los Angeles,Outdoor,5/2/2010,7472.24
Los Angeles,Clothing,5/2/2010,35034.06
Los Angeles,Furniture,5/2/2010,16873.2
Los Angeles,Electronics,5/2/2010,34025.45
Los Angeles,Toys,5/2/2010,69634.8
Los Angeles,Jewelry,5/2/2010,47681.96
Seattle,Clothing,5/2/2010,38724.42
Seattle,Housewares,5/2/2010,91481.24
Seattle,Shoes,5/2/2010,37239.25
Seattle,Electronics,5/2/2010,48602.55
Seattle,Toys,5/2/2010,71562.58
Seattle,Furniture,5/2/2010,16166.02
Seattle,Jewelry,5/2/2010,59554.57
Seattle,Outdoor,5/2/2010,10216.17
Buffalo,Outdoor,5/3/2010,1926.59
Buffalo,Shoes,5/3/2010,7229.39
Buffalo,Clothing,5/3/2010,5172.73
Buffalo,Furniture,5/3/2010,4296.57
Buffalo,Jewelry,5/3/2010,8511.73
Buffalo,Toys,5/3/2010,8996.39
Buffalo,Housewares,5/3/2010,16477.28
Buffalo,Electronics,5/3/2010,8874.52
Las Vegas,Electronics,5/3/2010,23082.14
Las Vegas,Toys,5/3/2010,38776.09
Las Vegas,Furniture,5/3/2010,12275.58
Las Vegas,Jewelry,5/3/2010,38086.19
Las Vegas,Housewares,5/3/2010,48397.98
Las Vegas,Outdoor,5/3/2010,4221.25
Las Vegas,Clothing,5/3/2010,21827.9
Las Vegas,Shoes,5/3/2010,19659.7
Los Angeles,Shoes,5/3/2010,29442.87
Los Angeles,Jewelry,5/3/2010,46937.81
Los Angeles,Electronics,5/3/2010,28609.08
Los Angeles,Housewares,5/3/2010,68428.64
Los Angeles,Outdoor,5/3/2010,6068.64
Los Angeles,Clothing,5/3/2010,27372.05
Los Angeles,Furniture,5/3/2010,14895.96
Los Angeles,Toys,5/3/2010,67041.18
Seattle,Toys,5/3/2010,71817.79
Seattle,Housewares,5/3/2010,87922.48
Seattle,Jewelry,5/3/2010,56959.02
Seattle,Furniture,5/3/2010,15438.34
Seattle,Outdoor,5/3/2010,9076.55
Seattle,Clothing,5/3/2010,31580.69
Seattle,Shoes,5/3/2010,35442.76
Seattle,Electronics,5/3/2010,40169.06
Buffalo,Clothing,5/11/2010,14326.87
Buffalo,Toys,5/11/2010,7941.61
Buffalo,Jewelry,5/11/2010,9263.26
Buffalo,Electronics,5/11/2010,9006.17
Buffalo,Furniture,5/11/2010,4191.21
Buffalo,Housewares,5/11/2010,18340.04
Buffalo,Shoes,5/11/2010,8017.65
Buffalo,Outdoor,5/11/2010,2242.72
Las Vegas,Housewares,5/11/2010,46381.43
Las Vegas,Outdoor,5/11/2010,5036.99
Las Vegas,Furniture,5/11/2010,9825.22
Las Vegas,Jewelry,5/11/2010,37980.55
Las Vegas,Clothing,5/11/2010,34238.88
Las Vegas,Electronics,5/11/2010,23903.81
Las Vegas,Shoes,5/11/2010,19136.58
Las Vegas,Toys,5/11/2010,36182.58
Los Angeles,Housewares,5/11/2010,64267.74
Los Angeles,Clothing,5/11/2010,46198.84
Los Angeles,Toys,5/11/2010,63248.62
Los Angeles,Outdoor,5/11/2010,6094.83
Los Angeles,Shoes,5/11/2010,28729.55
Los Angeles,Furniture,5/11/2010,12098.73
Los Angeles,Jewelry,5/11/2010,47784.77
Los Angeles,Electronics,5/11/2010,26202.38
Seattle,Jewelry,5/11/2010,56510.88
Seattle,Shoes,5/11/2010,35552.38
Seattle,Furniture,5/11/2010,11250.36
Seattle,Clothing,5/11/2010,48727.62
Seattle,Electronics,5/11/2010,50590.18
Seattle,Housewares,5/11/2010,92919.57
Seattle,Outdoor,5/11/2010,5590.16
Seattle,Toys,5/11/2010,68822.67
Buffalo,Clothing,5/14/2010,4771.24
Buffalo,Jewelry,5/14/2010,6765.26
Buffalo,Electronics,5/14/2010,7260.71
Buffalo,Shoes,5/14/2010,7181.97
Buffalo,Toys,5/14/2010,8069.59
Buffalo,Furniture,5/14/2010,3660.35
Buffalo,Housewares,5/14/2010,15597.26
Buffalo,Outdoor,5/14/2010,2479.64
Las Vegas,Clothing,5/14/2010,18926.74
Las Vegas,Shoes,5/14/2010,18771.35
Las Vegas,Electronics,5/14/2010,16891.66
Las Vegas,Jewelry,5/14/2010,33657.7
Las Vegas,Outdoor,5/14/2010,6982.17
Las Vegas,Housewares,5/14/2010,43675.61
Las Vegas,Toys,5/14/2010,33131.69
Las Vegas,Furniture,5/14/2010,7919.86
Los Angeles,Clothing,5/14/2010,25876.55
Los Angeles,Jewelry,5/14/2010,43466.84
Los Angeles,Toys,5/14/2010,58091.71
Los Angeles,Shoes,5/14/2010,31054.88
Los Angeles,Furniture,5/14/2010,10855.62
Los Angeles,Electronics,5/14/2010,21447.79
Los Angeles,Housewares,5/14/2010,62666.91
Los Angeles,Outdoor,5/14/2010,11850.07
Seattle,Housewares,5/14/2010,77259.96
Seattle,Outdoor,5/14/2010,14605.7
Seattle,Clothing,5/14/2010,27649.17
Seattle,Furniture,5/14/2010,10266.61
Seattle,Jewelry,5/14/2010,48542.31
Seattle,Shoes,5/14/2010,31165.85
Seattle,Toys,5/14/2010,60993.01
Seattle,Electronics,5/14/2010,36221.11
Buffalo,Clothing,5/21/2010,4444.92
Buffalo,Toys,5/21/2010,7690.88
Buffalo,Housewares,5/21/2010,15098.12
Buffalo,Furniture,5/21/2010,3372.16
Buffalo,Jewelry,5/21/2010,7061.3
Buffalo,Outdoor,5/21/2010,1841.03
Buffalo,Electronics,5/21/2010,5079.98
Buffalo,Shoes,5/21/2010,8385.54
Las Vegas,Shoes,5/21/2010,28726.86
Las Vegas,Housewares,5/21/2010,44319.15
Las Vegas,Electronics,5/21/2010,16157.17
Las Vegas,Toys,5/21/2010,34442.73
Las Vegas,Furniture,5/21/2010,7813.91
Las Vegas,Clothing,5/21/2010,14773.04
Las Vegas,Outdoor,5/21/2010,3395.75
Las Vegas,Jewelry,5/21/2010,35571.47
Los Angeles,Clothing,5/21/2010,22689.01
Los Angeles,Outdoor,5/21/2010,8331.46
Los Angeles,Housewares,5/21/2010,69699.5
Los Angeles,Electronics,5/21/2010,19852.04
Los Angeles,Furniture,5/21/2010,11486.91
Los Angeles,Shoes,5/21/2010,40359.64
Los Angeles,Jewelry,5/21/2010,45303.34
Los Angeles,Toys,5/21/2010,59977
Seattle,Electronics,5/21/2010,27277.64
Seattle,Outdoor,5/21/2010,12752.5
Seattle,Jewelry,5/21/2010,54926.4
Seattle,Clothing,5/21/2010,27138.28
Seattle,Furniture,5/21/2010,10733.81
Seattle,Toys,5/21/2010,62826.34
Seattle,Housewares,5/21/2010,81805.04
Seattle,Shoes,5/21/2010,36121.78
Buffalo,Shoes,5/28/2010,7285.55
Buffalo,Housewares,5/28/2010,14749.03
Buffalo,Furniture,5/28/2010,3568.78
Buffalo,Jewelry,5/28/2010,7205.91
Buffalo,Outdoor,5/28/2010,2656.79
Buffalo,Clothing,5/28/2010,4204.65
Buffalo,Toys,5/28/2010,7954.76
Buffalo,Electronics,5/28/2010,5767.75
Las Vegas,Furniture,5/28/2010,8412.69
Las Vegas,Toys,5/28/2010,35046.1
Las Vegas,Jewelry,5/28/2010,36380.36
Las Vegas,Outdoor,5/28/2010,6165.59
Las Vegas,Clothing,5/28/2010,15580.43
Las Vegas,Shoes,5/28/2010,36911.59
Las Vegas,Housewares,5/28/2010,44619.52
Las Vegas,Electronics,5/28/2010,15784.6
Los Angeles,Electronics,5/28/2010,23033.98
Los Angeles,Jewelry,5/28/2010,49046.81
Los Angeles,Furniture,5/28/2010,9264.33
Los Angeles,Toys,5/28/2010,60202.35
Los Angeles,Housewares,5/28/2010,68750.86
